"%s was added to your shopping cart.","%s was added to your shopping cart."
"You have no items in your shopping cart", "You have no items in your shopping cart."
"There are no questions for this product.", "There are no questions for this product."
"Customer Q&A:", "Customer Q&A:" 
"Have a question? Ask away:", "Have a question? Ask away:"
"Username","Username"
"Type your username here...", "Type your username here..."
"Question", "Question" 
"Type your question here...","Type your question here..."
"Submit", "Submit"
